bmrs_id,repd_id,name,capacity,turbine_capacity,turbine_count,lon,lat,gen_type
['DNLWW-1'],[3579],Dun Law wind farm,29.8,[0.85],[35.0],-2.8429565,55.8066372,onshore wind farm
['DOGGER-1'],[2541],"Dogger Bank A, B & C",3600,[6.0],[400.0],1.667874137,55.96733704,offshore wind farm
"['DOREW-1', 'DOREW-2']",[4244],Dorenell Wind Farm,177,[3.0],[59.0],-3.1341235,57.3479158,onshore wind farm
['DOUGW-1'],[5393],Douglas West Wind Farm,45,[3.0],[15.0],-3.8814199,55.5702652,onshore wind farm
['DRSLW-1'],[4269],Dersalloch Wind Farm,69,[3.0],[23.0],-4.4926835,55.3088137,onshore wind farm
['DUNGW-1'],[4118],Dunmaglass Wind Farm,94,[3.0],[33.0],-4.2567301,57.2435459,onshore wind farm
"['EAAO-1', 'EAAO-2']",[2524],East Anglia ONE,714,[7.0],[102.0],2.5022195,52.2392255,offshore wind farm
['EDINW-1'],[4674],Edinbane Wind Farm,41.4,[2.3],[18.0],-6.409634,57.4344582,onshore wind farm
['EWHLW-1'],"[3627, 4015]",Ewe Hill Wind Farm,51,"[2.3, 2.3]","[16.0, 6.0]",-3.1542099,55.159301,onshore wind farm
"['FAARW-1', 'FAARW-2']",[4676],Farr Wind Farm,92,[2.3],[40.0],-4.1094152,57.3349229,onshore wind farm
['FALGW-1'],[4059],Fallago Rig Wind Farm,144,[3.0],[48.0],-2.6706809,55.8281161,onshore wind farm
['FSDLW-1'],[3886],Freasdail Wind Farm,22.5,[2.0],[11.0],-5.4611786,55.7700348,onshore wind farm
"['GAOFO-1', 'GAOFO-2', 'GAOFO-3', 'GAOFO-4']",[2526],Galloper Offshore Wind Farm,353,[6.3],[56.0],2.0234091,51.8619575,offshore wind farm
['GDSTW-1'],[3666],Gordonstown Hill Wind Farm,12.5,[2.5],[5.0],-2.4748935,57.4483275,onshore wind farm
['GFLDW-1'],[4373],Goole Fields Wind Farms,32.8,[2.05],[16.0],-0.867843,53.6601841,onshore wind farm
['GLCHW-1'],[4638],Glenchamber Wind Farm,27.5,[2.5],[11.0],-4.7734986,54.9417325,onshore wind farm
['GLNKW-1'],[4371],Glen Kyllachy Wind Farm,48.5,[2.5],[20.0],-4.1036572,57.3218171,onshore wind farm
['GLOFW-1'],[3311],Glens of Foudland Wind Farm,26,[1.3],[20.0],-2.6474053,57.4117658,onshore wind farm
['GLWSW-1'],[4368],Galawhistle Wind Farm,66,[3.0],[22.0],-3.9454838,55.5531372,onshore wind farm
['GNAPW-1'],[4593],Glen App Wind Farm,22,[2.0],[11.0],-4.9976313,55.0155696,onshore wind farm
"['GNFSW-2', 'GNFSW-1']",[2490],Gunfleet Sands Offshore Wind Farm,172,[3.6],[30.0],1.2196912,51.7318894,offshore wind farm
"['GORDW-1', 'GORDW-2']","[3435, 3662]",Gordonbush Wind Farm,109.75,"[4.3, 2.0]","[11.0, 35.0]",-3.9611683,58.0996879,onshore wind farm
"['GRGBW-1', 'GRGBW-2', 'GRGBW-3']",[2510],Greater Gabbard wind farm,504,[3.6],[140.0],1.9226034,51.8613756,offshore wind farm
['GRGRW-1'],[4213],Greengairs East Wind Farm,36,[3.0],[8.0],-3.911997599,55.90106897,onshore wind farm
"['GRIFW-1', 'GRIFW-2']",[4028],Griffin Wind Farm,156.4,[3.0],[52.0],-3.7265035,56.5784165,onshore wind farm
"['GYMRO-15', 'GYMRO-17', 'GYMRO-26', 'GYMRO-28']",[2543],Gwynt y Môr Wind Farm,576,[3.6],[160.0],-3.5761369,53.4533797,offshore wind farm
['HADHW-1'],[3109],Hadyard Hill Wind Farm,117.3,[2.3],[52.0],-4.7294074,55.2323369,onshore wind farm
['HALSW-1'],[4636],Halsary Wind Farm,34,[2.3],[15.0],-3.4035237,58.4337282,onshore wind farm
['HBHDW-1'],[4225],Harburnhead Wind Farm,51.7,[3.0],[22.0],-3.5417068,55.8130556,onshore wind farm
['HLGLW-1'],[4381],Hill of Glaschyle Wind Farm,27.6,[2.3],[12.0],-3.6107416,57.5108783,onshore wind farm
['HLTWW-1'],[4014],Hill of Towie Wind Farm,48,[2.3],[21.0],-3.0618642,57.5064024,onshore wind farm
"['HMGTO-1', 'HMGTO-2']",[2544],Humber Gateway Wind Farm,219,[3.0],[73.0],0.2910833,53.6416528,offshore wind farm
"['HOWAO-1', 'HOWAO-2', 'HOWAO-3']",[2525],Hornsea One Offshore Wind Farm,1218,[7.0],[174.0],1.9431668,53.8999168,offshore wind farm
"['HOWBO-1', 'HOWBO-2', 'HOWBO-3']",[2502],Hornsea Two Offshore Wind Farm,1386,[7.8],[165.0],1.7698583,53.9195,offshore wind farm
['HRHLW-1'],"[2711, 4157]",Hare Hill Wind Farm,43,"[0.66, 0.85]","[20.0, 35.0]",-4.1153769,55.3577621,onshore wind farm
['HRSTW-1'],[4119],Harestanes Wind Farm,136,[2.0],[68.0],-3.5639048,55.2526218,onshore wind farm
['HYWDW-1'],[2479],Hywind Scotland,30,[6.0],[5.0],-1.3218,57.4548583,floating wind farm
['KENNW-1'],[4385],Kennoxhead Wind Farm,62,[4.8],[13.0],-3.946301119,55.49791903,onshore wind farm
['KILBW-1'],"[2673, 3202]",Kilbraur Wind Farm,67.5,"[2.5, 2.5]","[8.0, 19.0]",-4.0439878,58.0452345,onshore wind farm
['KINCW-1'],[6136],Kincardine Offshore Wind Farm,50,[9.5],[6.0],-1.8532605,57.0066465,floating wind farm
['KLGLW-1'],[4386],Kilgallioch Wind Farm,239,[2.5],[96.0],-4.7729374,55.0156154,onshore wind farm
