bmu,p50_energy_yield,curtailment,GWh/MW,curtailment %,n_data_points,r2,lat,lon,capacity,name,gen_type
CRMLW-1,99.84604279696941,4.97326305,1.8354051984737025,4.98%,51,0.9077642219594521,57.6641118,-4.7810651,54.4,Corriemoillie Wind Farm,onshore wind farm
CRYRW-2,353.3880802989006,6.72031315,1.7625340663286813,1.90%,70,0.9203394905250052,55.9065661,-2.5409971,200.5,Crystal Rig Wind Farm,onshore wind farm
DALSW-1,56.50844606757164,1.06556895,1.8836148689190546,1.89%,81,0.8555286473766345,55.1854744,-3.6621051,30.0,Dalswinton Wind Farm,onshore wind farm
DDGNO-1,432.08965611457825,0.077426,1.074849890832284,0.02%,47,0.8997606211665861,53.2631838,1.3816845,402.0,Dudgeon Offshore Wind Farm,offshore wind farm
DDGNO-3,406.9063774943352,0.046475600000000006,1.0122049191401372,0.01%,52,0.9066939227984674,53.2631838,1.3816845,402.0,Dudgeon Offshore Wind Farm,offshore wind farm
DDGNO-4,405.3348978161812,0.03058615,1.0082957657118934,0.01%,52,0.8811225646493372,53.2631838,1.3816845,402.0,Dudgeon Offshore Wind Farm,offshore wind farm
DDGNO-2,359.84171491861343,0.0601525,0.8951286440761528,0.02%,50,0.9250000271441942,53.2631838,1.3816845,402.0,Dudgeon Offshore Wind Farm,offshore wind farm
DRSLW-1,168.3700512945652,5.30201955,2.4401456709357277,3.15%,55,0.9091160538460451,55.3088137,-4.4926835,69.0,Dersalloch Wind Farm,onshore wind farm
DUNGW-1,297.1182253956795,15.42016025,3.16083218506042,5.19%,51,0.7829020200672384,57.2435459,-4.2567301,94.0,Dunmaglass Wind Farm,onshore wind farm
EAAO-1,1426.494553565979,7.582044849999999,1.9978915316050125,0.53%,33,0.9362466416346047,52.2392255,2.5022195,714.0,East Anglia ONE,offshore wind farm
EAAO-2,1419.0446751117706,7.6152142,1.987457528167746,0.54%,33,0.9326152098403645,52.2392255,2.5022195,714.0,East Anglia ONE,offshore wind farm
EDINW-1,100.8996287882328,6.9963863,2.4371891011650435,6.93%,76,0.8820429418726343,57.4344582,-6.409634,41.4,Edinbane Wind Farm,onshore wind farm
EWHLW-1,94.19516111910343,2.97571185,1.846963943511832,3.16%,54,0.8967267797443635,55.159301,-3.1542099,51.0,Ewe Hill Wind Farm,onshore wind farm
FAARW-1,95.40100319683552,0.0,1.0369674260525599,0.00%,73,0.7881280996161345,57.3349229,-4.1094152,92.0,Farr Wind Farm,onshore wind farm
FAARW-2,96.57522267103195,0.0,1.049730681206869,0.00%,75,0.8141608231576125,57.3349229,-4.1094152,92.0,Farr Wind Farm,onshore wind farm
FALGW-1,399.89002680778503,17.8456488,2.777014075054063,4.46%,75,0.9099040735238565,55.8281161,-2.6706809,144.0,Fallago Rig Wind Farm,onshore wind farm
FSDLW-1,67.79975174367428,0.0012471000000000001,3.013322299718857,0.00%,56,0.9118188019007561,55.7700348,-5.4611786,22.5,Freasdail Wind Farm,onshore wind farm
GAOFO-1,365.5201439857483,0.0,1.0354678299879554,0.00%,31,0.9541347381276942,51.8619575,2.0234091,353.0,Galloper Offshore Wind Farm,offshore wind farm
GAOFO-2,368.34067755937576,0.0,1.0434580100832174,0.00%,32,0.9426276352957373,51.8619575,2.0234091,353.0,Galloper Offshore Wind Farm,offshore wind farm
GAOFO-3,368.5653989315033,0.0,1.0440946145368366,0.00%,34,0.9664265280947875,51.8619575,2.0234091,353.0,Galloper Offshore Wind Farm,offshore wind farm
GAOFO-4,368.77730506658554,0.0,1.044694915202792,0.00%,33,0.9310148385951821,51.8619575,2.0234091,353.0,Galloper Offshore Wind Farm,offshore wind farm
GDSTW-1,26.42565607279539,0.59816915,2.114052485823631,2.26%,78,0.930059954098082,57.4483275,-2.4748935,12.5,Gordonstown Hill Wind Farm,onshore wind farm
GFLDW-1,76.13268828392029,0.0,2.321118545241472,0.00%,78,0.9533111403696714,53.6601841,-0.867843,32.8,Goole Fields Wind Farms,onshore wind farm
GLOFW-1,53.04551085084677,1.2177464,2.040211955801799,2.30%,81,0.8746066828805409,57.4117658,-2.6474053,26.0,Glens of Foudland Wind Farm,onshore wind farm
GLWSW-1,149.63090109825134,5.417765,2.2671348651250205,3.62%,49,0.9154448592039903,55.5531372,-3.9454838,66.0,Galawhistle Wind Farm,onshore wind farm
GNAPW-1,54.81842860579491,0.45683045,2.4917467548088594,0.83%,40,0.8046404774184527,55.0155696,-4.9976313,22.0,Glen App Wind Farm,onshore wind farm
GNFSW-2,207.0832675397396,1.1210208000000002,1.2039724856961604,0.54%,77,0.9643304469943063,51.7318894,1.2196912,172.0,Gunfleet Sands Offshore Wind Farm,offshore wind farm
GNFSW-1,328.97236382961273,1.1839506000000002,1.9126300222651904,0.36%,75,0.9663005461635409,51.7318894,1.2196912,172.0,Gunfleet Sands Offshore Wind Farm,offshore wind farm
GORDW-1,194.4534275829792,18.55276465,1.771785217156986,9.54%,69,0.7827103954924908,58.0996879,-3.9611683,109.75,Gordonbush Wind Farm,onshore wind farm
GRGBW-1,581.6603208780289,0.1675812,1.1540879382500573,0.03%,62,0.9307839677877489,51.8613756,1.9226034,504.0,Greater Gabbard wind farm,offshore wind farm
GRGBW-2,601.356299340725,0.1158791,1.1931672605966765,0.02%,66,0.8525082254471179,51.8613756,1.9226034,504.0,Greater Gabbard wind farm,offshore wind farm
GRGBW-3,582.0627057552338,0.08534160000000002,1.154886320942924,0.01%,66,0.9205936997023849,51.8613756,1.9226034,504.0,Greater Gabbard wind farm,offshore wind farm
GRIFW-1,160.44176244735718,17.27280045,1.0258424708910305,10.77%,74,0.8495153352337224,56.5784165,-3.7265035,156.4,Griffin Wind Farm,onshore wind farm
GRIFW-2,176.59685495495796,16.301147099999998,1.1291359012465343,9.23%,76,0.8558397230582183,56.5784165,-3.7265035,156.4,Griffin Wind Farm,onshore wind farm
GYMRO-15,453.0704210996628,0.0,0.7865805921869146,0.00%,74,0.8475463665851212,53.4533797,-3.5761369,576.0,Gwynt y Môr Wind Farm,offshore wind farm
GYMRO-17,434.78026044368744,0.0,0.7548268410480685,0.00%,57,0.9447374618738695,53.4533797,-3.5761369,576.0,Gwynt y Môr Wind Farm,offshore wind farm
GYMRO-26,461.02041751146317,0.0,0.8003826692907346,0.00%,78,0.9299927388118843,53.4533797,-3.5761369,576.0,Gwynt y Môr Wind Farm,offshore wind farm
GYMRO-28,460.4758396744728,0.0,0.7994372216570709,0.00%,75,0.9389785799615937,53.4533797,-3.5761369,576.0,Gwynt y Môr Wind Farm,offshore wind farm
HADHW-1,220.1162074804306,17.047395049999995,1.8765235079320597,7.74%,75,0.8933206834646783,55.2323369,-4.7294074,117.3,Hadyard Hill Wind Farm,onshore wind farm
HBHDW-1,126.49707984924316,0.0,2.4467520280317827,0.00%,55,0.9270262403711875,55.8130556,-3.5417068,51.7,Harburnhead Wind Farm,onshore wind farm
HLGLW-1,47.09082292020321,0.0149532,1.7061892362392466,0.03%,56,0.9326839852674422,57.5108783,-3.6107416,27.6,Hill of Glaschyle Wind Farm,onshore wind farm
HLTWW-1,102.1828082203865,2.8065973,2.1288085045913854,2.75%,30,0.7532316194644231,57.5064024,-3.0618642,48.0,Hill of Towie Wind Farm,onshore wind farm
HMGTO-1,417.4039687514305,0.0432584,1.9059541952120114,0.01%,66,0.9329249395430916,53.6416528,0.2910833,219.0,Humber Gateway Wind Farm,offshore wind farm
HOWAO-1,1687.5031056404114,4.42700275,1.3854705300824395,0.26%,38,0.9396487010655925,53.8999168,1.9431668,1218.0,Hornsea One Offshore Wind Farm,offshore wind farm
HOWAO-2,1715.578500509262,4.44297375,1.4085209363787046,0.26%,43,0.9140941398104785,53.8999168,1.9431668,1218.0,Hornsea One Offshore Wind Farm,offshore wind farm
HOWAO-3,1722.2012774944305,4.7447664,1.4139583559067574,0.28%,39,0.945109169615185,53.8999168,1.9431668,1218.0,Hornsea One Offshore Wind Farm,offshore wind farm
HOWBO-1,1706.8659539222717,0.0,1.2315050172599362,0.00%,14,0.7299129942796676,53.9195,1.7698583,1386.0,Hornsea Two Offshore Wind Farm,offshore wind farm
HOWBO-2,1811.1591987609863,0.0,1.3067526686587203,0.00%,15,0.9361756962182604,53.9195,1.7698583,1386.0,Hornsea Two Offshore Wind Farm,offshore wind farm
HOWBO-3,1776.8588230609894,0.0,1.2820049228434267,0.00%,17,0.9349926640382494,53.9195,1.7698583,1386.0,Hornsea Two Offshore Wind Farm,offshore wind farm
HRSTW-1,237.88605111837387,4.11609315,1.7491621405762785,1.73%,70,0.8431595944237094,55.2526218,-3.5639048,136.0,Harestanes Wind Farm,onshore wind farm
HYWDW-1,140.6767470240593,0.017908300000000002,4.689224900801976,0.01%,54,0.8290180061861213,57.4548583,-1.3218,30.0,Hywind Scotland,floating wind farm
KILBW-1,175.3513625562191,1.0134775,2.5977979637958386,0.58%,78,0.8265785792727525,58.0452345,-4.0439878,67.5,Kilbraur Wind Farm,onshore wind farm
KLGLW-1,643.3496845960617,15.64287315,2.6918396845023502,2.43%,65,0.8194166540385173,55.0156154,-4.7729374,239.0,Kilgallioch Wind Farm,onshore wind farm
LARYO-1,582.4740062355995,0.0,0.9245619146596817,0.00%,65,0.8669081074385959,51.6365324,1.4902724,630.0,London Array,offshore wind farm
LARYO-2,552.0264985561371,0.0,0.8762325373906937,0.00%,54,0.8953964189027324,51.6365324,1.4902724,630.0,London Array,offshore wind farm
LARYO-3,577.9146585464478,0.0,0.9173248548356313,0.00%,72,0.9191315442847445,51.6365324,1.4902724,630.0,London Array,offshore wind farm
LARYO-4,581.8067303299904,0.0,0.9235027465555403,0.00%,78,0.904315608204939,51.6365324,1.4902724,630.0,London Array,offshore wind farm
LCLTW-1,150.64923582971096,8.5250402,2.9539065848962935,5.66%,76,0.8295439108077709,57.6579921,-4.8075158,51.0,Lochluichart Wind Farm,onshore wind farm
LNCSO-1,467.47797083854675,0.0,1.7313998919946176,0.00%,79,0.9525931389359196,53.1859311,0.4904364,270.0,Lincs Wind Farm,offshore wind farm
LNCSO-2,513.9681802988052,0.0,1.9035858529585379,0.00%,75,0.9467306403052643,53.1859311,0.4904364,270.0,Lincs Wind Farm,offshore wind farm
MDHLW-1,187.4749332368374,0.0,2.470025470841072,0.00%,77,0.8987397826046428,56.9652852,-2.4841137,75.9,Mid Hill Wind Farm,onshore wind farm
MIDMW-1,112.35959969460964,13.795464800000001,2.2031294057766595,12.28%,38,0.8466918155569342,55.5076052,-3.8105201,51.0,Middle Muir Wind Farm,onshore wind farm
MILWW-1,173.12093518674374,2.6369295499999996,2.6633990028729806,1.52%,79,0.8940866347705789,57.135399,-4.8469568,65.0,Millennium Wind Farm,onshore wind farm
MINSW-1,81.90925762057304,2.5889761,2.2257950440373113,3.16%,80,0.9021139080342127,55.1208024,-3.2255703,36.8,Minsca Wind Farm,onshore wind farm
MKHLW-1,106.3996010273695,0.35021255,1.899992875488741,0.33%,53,0.77441625876529,55.1304546,-4.7442317,56.0,Mark Hill Wind Farm,onshore wind farm
MOWEO-1,1131.5889556407928,123.51937534999999,1.1911462690955714,10.92%,20,0.6558133867319049,58.0546108,-3.158582914,950.0,Moray East Offshore Wind Farm,offshore wind farm
MOWEO-2,921.33871281147,111.0936603,0.9698302240120737,12.06%,21,0.6894249764695617,58.0546108,-3.158582914,950.0,Moray East Offshore Wind Farm,offshore wind farm
MOWEO-3,985.2447898387909,128.66459730000003,1.0370997787776746,13.06%,21,0.7551378158254823,58.0546108,-3.158582914,950.0,Moray East Offshore Wind Farm,offshore wind farm
OMNDO-1,458.3446979522705,0.0,3.0556313196818032,0.00%,55,0.8464618529330421,54.089035,-3.4372891,150.0,Ormonde Wind Farm,offshore wind farm
RCBKO-1,1082.4208092689514,2.7320184999999997,1.8890415519527948,0.25%,62,0.9404092717672514,53.2791854,0.8500646,573.0,Race Bank Wind Farm,offshore wind farm
RCBKO-2,1081.0778925418854,3.1350489,1.8866978927432554,0.29%,65,0.901821585991256,53.2791854,0.8500646,573.0,Race Bank Wind Farm,offshore wind farm
